469 186 0
493 156 0
497 201 0
512 204 0
465 238 0
473 222 0
492 236 0
482 199 0
468 166 0
446 171 0
445 186 0
464 205 0
506 217 0
510 184 0
490 179 0
617 132 1
610 115 1
587 116 1
586 132 1
592 151 1
571 112 1
669 214 1
678 196 1
712 190 1
734 248 1
703 247 1
677 252 1
685 224 1
718 216 1
706 229 1
663 226 1
578 97 1
595 102 1
607 136 1
653 234 1
637 212 1
690 179 1
570 132 1
582 152 1
592 120 1
599 138 1
607 155 1
698 205 1
649 180 1
658 195 1
656 210 1
675 243 1
693 261 1
713 263 1
727 235 1
693 240 1
566 276 2
576 302 2
575 285 2
548 310 2
570 317 2
593 301 2
584 267 2
558 273 2
546 282 2
589 312 2
588 291 2
603 290 2
594 281 2
559 291 2
380 223 3
394 202 3
419 198 3
447 215 3
426 226 3
405 219 3
446 233 3
431 254 3
